pl_name,hostname,discoverymethod,disc_year,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,sy_dist,sy_disterr1,sy_disterr2
11 Com b,11 Com,Radial Velocity,2007,0,323.21,0.06,-0.05,0,12.2,,,0,93.1846,1.9238,-1.9238
11 UMi b,11 UMi,Radial Velocity,2009,0,516.21997,3.2,-3.2,0,12.3,,,0,125.321,1.9765,-1.9765
14 And b,14 And,Radial Velocity,2008,0,186.76,0.11,-0.12,0,13.1,,,0,75.4392,0.714,-0.714
14 Her b,14 Her,Radial Velocity,2002,0,1766.41,0.67,-0.68,0,12.5,,,0,17.9323,0.0073,-0.0073
16 Cyg B b,16 Cyg B,Radial Velocity,1996,0,798.5,1,-1,0,13.5,,,0,21.1397,0.011,-0.0111
17 Sco b,17 Sco,Radial Velocity,2020,0,578.38,2.01,-2.09,0,12.9,,,0,124.953,2.59,-2.59
18 Del b,18 Del,Radial Velocity,2008,0,982.85,1.06,-0.92,0,12.5,,,0,76.222,0.6217,-0.6217
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,2008,0,,,,,18.647,,,0,139.135,1.332,-1.307
24 Boo b,24 Boo,Radial Velocity,2018,0,30.33,0,-0.01,0,13.9,,,0,95.9863,0.63685,-0.63685
24 Sex b,24 Sex,Radial Velocity,2010,0,452.8,2.1,-4.5,0,13.4,,,0,72.0691,0.6854,-0.6728
24 Sex c,24 Sex,Radial Velocity,2010,0,883,32.4,-13.8,0,13.9,,,0,72.0691,0.6854,-0.6728
2M0437 b,2MASS J04372171+2651014,Imaging,2021,0,,,,,13,,,0,128.484,1.196,-1.174
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,Imaging,2013,0,,,,,12.3,,,0,47.2,3.1,-3.1
2MASS J01225093-2439505 b,2MASS J01225093-2439505,Imaging,2013,0,,,,,11.209,,,0,33.8281,0.0864,-0.086
2MASS J02192210-3925225 b,2MASS J02192210-3925225,Imaging,2015,0,,,,,16.14096,0.33627,-0.33627,0,40.08964117,0.19404958,-0.19404958
2MASS J0249-0557 c,2MASS J0249-0557 A,Imaging,2018,0,,,,,17.37392009,0.33626942,-0.33626942,0,66.0613,0.4543,-0.4482
2MASS J03590986+2009361 b,2MASS J03590986+2009361,Imaging,2024,0,,,,,12.2,,,0,117.435,2.32,-2.233
2MASS J04414489+2301513 b,2MASS J04414489+2301513,Imaging,2010,0,,,,,12.6,,,0,120.423987,5.4783417,-5.4783417
2MASS J11011926-7732383 b,2MASS J11011926-7732383,Imaging,2024,0,,,,,11.9,,,0,,,
2MASS J11550485-7919108 b,2MASS J11550485-7919108,Imaging,2024,0,,,,,12.1,,,0,100.862,0.603,-0.596
2MASS J12073346-3932539 b,2MASS J12073346-3932539,Imaging,2004,0,,,,,15.69257298,0.33626942,-0.44835923,0,64.308,0.6569,-0.644
2MASS J19383260+4603591 b,2MASS J19383260+4603591,Eclipse Timing Variations,2015,0,406,4,-4,0,13.4,,,0,396.332,6.3885,-6.3885
2MASS J21252752-8138278 b,2MASS J21252752-8138278,Imaging,2024,0,,,,,12.4,,,0,34.1154,0.0811,-0.0807
2MASS J22362452+4751425 b,2MASS J22362452+4751425,Imaging,2016,0,,,,,12.3,,,0,69.5737,0.1592,-0.1585
2MASS J22501512+2325342 b,2MASS J22501512+2325342,Imaging,2018,0,,,,,11.9,,,0,57.2309,0.1437,-0.1429
4 UMa b,4 UMa,Radial Velocity,2006,0,270.27,0.24,-0.09,0,12.6,,,0,73.4603,1.18605,-1.18605
47 UMa b,47 UMa,Radial Velocity,1996,0,1078,2,-2,0,13.2,,,0,13.7967,0.0289,-0.0289
47 UMa c,47 UMa,Radial Velocity,2001,0,2391,100,-87,0,14.2,,,0,13.7967,0.0289,-0.0289
47 UMa d,47 UMa,Radial Velocity,2009,0,14002,4018,-5095,0,13.5,,,0,13.7967,0.0289,-0.0289
51 Eri b,51 Eri,Imaging,2015,0,9100,1100,-1500,0,,,,,29.7575,0.1213,-0.1203
51 Peg b,51 Peg,Radial Velocity,1995,0,4.2307966,0.0000027,-0.0000027,0,14.1,,,0,15.4614,0.0297,-0.0297
55 Cnc B b,55 Cnc B,Radial Velocity,2025,0,6.7994,0.0013,-0.0014,0,1.69,,,0,12.4773,0.0171,-0.0171
55 Cnc B c,55 Cnc B,Radial Velocity,2025,0,33.747,0.035,-0.035,0,2.16,,,0,12.4773,0.0171,-0.0171
55 Cnc b,55 Cnc,Radial Velocity,1996,0,14.651552,0.000036,-0.000036,0,13.9,,,0,12.5855,0.0124,-0.0123
55 Cnc c,55 Cnc,Radial Velocity,2004,0,44.3936,0.0024,-0.0024,0,8.51,,,0,12.5855,0.0124,-0.0123
55 Cnc d,55 Cnc,Radial Velocity,2002,0,4799,4.9,-15,0,13,,,0,12.5855,0.0124,-0.0123
55 Cnc e,55 Cnc,Radial Velocity,2004,0,0.7365474,0.0000013,-0.0000014,0,1.875,0.029,-0.029,0,12.5855,0.0124,-0.0123
55 Cnc f,55 Cnc,Radial Velocity,2007,0,260.58,0.15,-0.15,0,7.59,,,0,12.5855,0.0124,-0.0123
6 Lyn b,6 Lyn,Radial Velocity,2008,0,919.86,1.92,-3.71,0,13.4,,,0,54.6599,0.2734,-0.2734
61 Vir b,61 Vir,Radial Velocity,2009,0,4.215,0.0006,-0.0006,0,2.11,,,0,8.50332,0.01737,-0.0173
61 Vir c,61 Vir,Radial Velocity,2009,0,38.021,0.034,-0.034,0,4.46,,,0,8.50332,0.01737,-0.0173
61 Vir d,61 Vir,Radial Velocity,2009,0,123.01,0.55,-0.55,0,5.11,,,0,8.50332,0.01737,-0.0173
7 CMa b,7 CMa,Radial Velocity,2011,0,735.1,14.8,-1,0,13.4,,,0,19.8101,0.1648,-0.1648
7 CMa c,7 CMa,Radial Velocity,2019,0,996,1.5,-52.4,0,13.9,,,0,19.8101,0.1648,-0.1648
70 Vir b,70 Vir,Radial Velocity,1996,0,116.688,0.0054,-0.0054,0,12.6,,,0,17.9011,0.056,-0.0557
75 Cet b,75 Cet,Radial Velocity,2012,0,696.62,1.33,-1.69,0,13.3,,,0,82.9613,0.72365,-0.72365
75 Cet c,75 Cet,Radial Velocity,2023,0,2051.62,45.98,-40.47,0,13.9,,,0,82.9613,0.72365,-0.72365
8 UMi b,8 UMi,Radial Velocity,2015,0,93.31,0.06,-0.06,0,13.5,,,0,162.552,0.651,-0.646
81 Cet b,81 Cet,Radial Velocity,2008,0,1005.57,1.84,-1.94,0,13.1,,,0,101.26,1.222,-1.222
91 Aqr b,91 Aqr,Radial Velocity,2013,0,181.4,0.1,-0.1,0,13.1,,,0,44.0304,0.51325,-0.51325
AB Aur b,AB Aur,Imaging,2022,0,,,,,12.5,,,0,162.127,1.526,-1.498
AB Pic b,AB Pic,Imaging,2005,0,,,,,12.3,,,0,50.0475,0.0735,-0.0733
AF Lep b,AF Lep,Imaging,2023,0,8905,400,-150,0,13,,,0,26.8564,0.0189,-0.0188
AT2021ueyL b,AT2021ueyL,Microlensing,2025,0,4168.69,2910.76,-1713.98,0,13.6,,,0,1040,740,-440
AU Mic b,AU Mic,Transit,2020,0,8.463446,0.000005,-0.000005,0,4.79,0.29,-0.29,0,9.7221,0.004625,-0.004625
AU Mic c,AU Mic,Transit,2021,0,18.859023,0.000022,-0.000024,0,2.79,0.18,-0.17,0,9.7221,0.004625,-0.004625
AU Mic d,AU Mic,Transit Timing Variations,2023,0,12.73596,0.00793,-0.00793,0,1.02,,,0,9.7221,0.004625,-0.004625
AU Mic e,AU Mic,Radial Velocity,2025,1,33.11,0.06,-0.06,0,4.87,,,0,9.7221,0.004625,-0.004625
BD+03 2562 b,BD+03 2562,Radial Velocity,2017,0,481.9,2.7,-2.8,0,12.7,,,0,1070.63,63.875,-63.875
BD+05 4868 A b,BD+05 4868 A,Transit,2025,0,1.271869,0.000001,-0.000001,0,,,,,43.5687,0.0975,-0.0971
BD+14 4559 b,BD+14 4559,Radial Velocity,2009,0,268.94,0.99,-0.99,0,13.8,,,0,49.352,0.0846,-0.0844
BD+15 2375 b,BD+15 2375,Radial Velocity,2016,0,153.22,0.44,-0.44,0,13.8,,,0,768.045,45.038,-45.038
BD+15 2940 b,BD+15 2940,Radial Velocity,2013,0,137.48,0.34,-0.34,0,13.7,,,0,426.42,6.44,-6.44
BD+20 2457 b,BD+20 2457,Radial Velocity,2009,0,379.63,2.01,-2.01,0,12.1,,,0,1539.71,189.925,-189.925
BD+20 2457 c,BD+20 2457,Radial Velocity,2009,0,621.99,10.2,-10.2,0,12.4,,,0,1539.71,189.925,-189.925
BD+20 274 b,BD+20 274,Radial Velocity,2012,0,578.2,5.4,-5.4,0,13,,,0,1322.51,80.535,-80.535
BD+20 594 b,BD+20 594,Transit,2016,0,41.6855,0.003,-0.003,0,2.57807,0.11209,-0.11209,0,179.461,1.257,-1.24
BD+37 3172 b,BD+37 3172,Radial Velocity,2023,0,1887.76,0.01,-0.01,0,12.4,,,0,454.251,4.6385,-4.6385
BD+42 2315 b,BD+42 2315,Radial Velocity,2023,0,123.05,0.04,-0.04,0,14.2,,,0,610.715,14.311,-14.311
BD+45 564 b,BD+45 564,Radial Velocity,2021,0,307.88,1.47,-1.47,0,13.6,,,0,53.622,0.1919,-0.1905
BD+48 738 b,BD+48 738,Radial Velocity,2011,0,392.6,5.5,-5.5,0,13.9,,,0,871.493,43.849,-43.849
BD+48 740 b,BD+48 740,Radial Velocity,2018,0,733,5,-8,0,13.5,,,0,666.589,21.5335,-21.5335
BD+49 828 b,BD+49 828,Radial Velocity,2015,0,2590,300,-180,0,13.5,,,0,442.042,7.654,-7.654
BD+55 362 b,BD+55 362,Radial Velocity,2021,0,265.59,1.04,-1.04,0,14,,,0,52.5697,0.0974,-0.0971
BD+60 1417 b,BD+60 1417,Imaging,2021,0,,,,,14.68376472,0.67253884,-0.67253884,0,44.9543,0.0593,-0.0592
BD+63 1405 b,BD+63 1405,Radial Velocity,2021,0,1198.48,60.79,-60.79,0,12.4,,,0,38.0473,0.0329,-0.0329
BD-06 1339 b,BD-06 1339,Radial Velocity,2013,1,3.8728,0.0004,-0.0004,0,,,,,20.2695,0.022,-0.0218
BD-06 1339 c,BD-06 1339,Radial Velocity,2013,0,125.94,0.44,-0.44,0,8.38,,,0,20.2695,0.022,-0.0218
BD-08 2823 b,BD-08 2823,Radial Velocity,2009,0,5.6,0.02,-0.02,0,,,,,41.3342,0.0685,-0.0682
BD-08 2823 c,BD-08 2823,Radial Velocity,2009,0,237.6,1.5,-1.5,0,12.5,,,0,41.3342,0.0685,-0.0682
BD-10 3166 b,BD-10 3166,Radial Velocity,2000,0,3.48777,0.00011,-0.00011,0,14.1,,,0,84.4069,0.3537,-0.3508
BD-11 4672 b,BD-11 4672,Radial Velocity,2014,0,1634,13,-14,0,14.1,,,0,27.1665,0.0346,-0.0346
BD-11 4672 c,BD-11 4672,Radial Velocity,2020,0,74.2,0.06,-0.08,0,4.04,,,0,27.1665,0.0346,-0.0346
BD-13 2130 b,BD-13 2130,Radial Velocity,2007,0,714.29999,5.3,-5.3,0,12.5,,,0,925.214,41.211,-41.211
BD-14 3065 b,BD-14 3065 A,Transit,2024,0,4.2889731,0.0000052,-0.0000052,0,21.59,1.05,-1.05,0,589.423,16.599,-15.729
BD-17 63 b,BD-17 63,Radial Velocity,2008,0,655.57,0.58,-0.58,0,12.8,,,0,34.4603,0.0929,-0.0924
BD-210397 b,BD-210397,Radial Velocity,2023,0,1891,56,-48,0,14,,,0,23.7324,0.0228,-0.0227
BD-210397 c,BD-210397,Radial Velocity,2023,0,6240,151,-156,0,12.9,,,0,23.7324,0.0228,-0.0227
BEBOP-3 b,BEBOP-3,Radial Velocity,2025,0,547,6.2,-7.6,0,14.2,,,0,119.052,0.341,-0.34
BEBOP-4 AB b,BEBOP-4 A,Radial Velocity,2025,0,1823.5,5.1,-4.9,0,,,,,234.294,2.194,-2.155
Barnard b,Barnard's star,Radial Velocity,2024,0,3.1542,0.0004,-0.0004,0,0.72,,,0,1.82655,0.000975,-0.000975
Barnard c,Barnard's star,Radial Velocity,2025,0,4.1244,0.0006,-0.0006,0,0.743,,,0,1.82655,0.000975,-0.000975
Barnard d,Barnard's star,Radial Velocity,2025,0,2.3402,0.0003,-0.0003,0,0.694,,,0,1.82655,0.000975,-0.000975
Barnard e,Barnard's star,Radial Velocity,2025,0,6.7392,0.003,-0.003,0,0.637,,,0,1.82655,0.000975,-0.000975
CD Cet b,CD Cet,Radial Velocity,2020,0,2.2907,0.00012,-0.00012,0,1.82,,,0,8.60715,0.00658,-0.00658
CD-35 2722 b,CD-35 2722,Imaging,2011,0,,,,,17.37392009,0.56044903,-0.67253884,0,22.3896,0.01325,-0.01325
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,Imaging,2011,0,10037.5,2737.5,-2737.5,0,12.4,,,0,23.1,2.4,-2.4
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,Imaging,2020,0,8040000,470000,-470000,0,20.8487041,0.56044903,-0.56044903,0,,,
CHXR 73 b,CHXR 73,Imaging,2006,0,,,,,12.3,,,0,190.374,6.647,-6.22
CI Tau c,CI Tau,Radial Velocity,2024,0,25.2,1.7,-1.8,0,13,,,0,157.998,1.198,-1.18
COCONUTS-2 b,COCONUTS-2 A,Imaging,2021,0,402000000,470000000,-100000000,0,12.57647635,0.0560449,-0.04483592,0,10.8864,0.0041,-0.0042
CT Cha b,CT Cha,Imaging,2007,0,,,,,24.66,9.08,-6.73,0,190.72,0.778,-0.771
CWISEP J193518.59-154620.3 b,CWISEP J193518.59-154620.3,Imaging,2025,0,,,,,12.2,,,0,14.43,,
CoRoT-1 b,CoRoT-1,Transit,2008,0,1.5089557,0.0000064,-0.0000064,0,16.7,0.9,-0.9,0,787.909,23.491,-23.491
CoRoT-10 b,CoRoT-10,Transit,2010,0,13.2406,0.0002,-0.0002,0,10.87,0.78,-0.78,0,338.386,3.9865,-3.9865
CoRoT-11 b,CoRoT-11,Transit,2010,0,2.99433,0.000011,-0.000011,0,16.03,0.34,-0.34,0,655.037,24.947,-23.209
CoRoT-12 b,CoRoT-12,Transit,2010,0,2.828042,0.000013,-0.000013,0,16.14,1.46,-1.46,0,1126.37,55.745,-55.745
CoRoT-13 b,CoRoT-13,Transit,2010,0,4.03519,0.00003,-0.00003,0,9.92,0.157,-0.157,0,1148.93,62.12,-56.15
CoRoT-14 b,CoRoT-14,Transit,2010,0,1.51214,0.00013,-0.00013,0,12.22,0.78,-0.78,0,1744.6,173.03,-144.9
CoRoT-16 b,CoRoT-16,Transit,2011,0,5.35227,0.0002,-0.0002,0,13.11,1.79,-1.57,0,732.409,35.344,-32.282
CoRoT-17 b,CoRoT-17,Transit,2011,0,3.7681,0.0003,-0.0003,0,11.43,0.78,-0.78,0,1176.12,57.17,-52.19
CoRoT-18 b,CoRoT-18,Transit,2011,0,1.9000693,0.0000028,-0.0000028,0,14.68,2.02,-2.02,0,764.889,27.614,-25.784
CoRoT-19 b,CoRoT-19,Transit,2011,0,3.89713,0.00002,-0.00002,0,14.46,0.34,-0.34,0,790.663,26.737,-25.071
CoRoT-2 b,CoRoT-2,Transit,2008,0,1.7429935,0.000001,-0.000001,0,16.432,0.471,-0.493,0,213.283,2.485,-2.43
CoRoT-20 b,CoRoT-20,Transit,2011,0,9.24285,0.0003,-0.0003,0,9.41556,0.44836,-0.44836,0,844.061,24.171,-22.883
CoRoT-20 c,CoRoT-20,Radial Velocity,2018,0,1675,19,-17,0,12.2,,,0,844.061,24.171,-22.883
CoRoT-21 b,CoRoT-21,Transit,2012,0,2.72474,0.00014,-0.00014,0,14.5717,1.56926,-1.56926,0,1398.834197,286.4501849,-286.4501849
CoRoT-22 b,CoRoT-22,Transit,2014,0,9.75598,0.00011,-0.00011,0,4.88,0.17,-0.39,0,627.158,11.187,-10.808
CoRoT-23 b,CoRoT-23,Transit,2011,0,3.6313,0.0001,-0.0001,0,11.77,1.46,-1.46,0,1060.97,45.47,-41.94
CoRoT-24 b,CoRoT-24,Transit,2014,0,5.1134,0.0006,-0.0006,0,3.7,0.4,-0.4,0,591.555,16.043,-15.232
CoRoT-24 c,CoRoT-24,Transit,2014,0,11.759,0.0063,-0.0063,0,5,0.5,-0.5,0,591.555,16.043,-15.232
CoRoT-25 b,CoRoT-25,Transit,2013,0,4.86069,0.00006,-0.00006,0,12.11,3.4,-1.12,0,1103.48,44.28,-41.05
CoRoT-26 b,CoRoT-26,Transit,2013,0,4.20474,0.00005,-0.00005,0,14.12,1.46,-0.78,0,1045.18,,
CoRoT-27 b,CoRoT-27,Transit,2014,0,3.57532,0.00006,-0.00006,0,11.287,0.493,-0.493,0,1010.28,69.26,-61.036
CoRoT-28 b,CoRoT-28,Transit,2015,0,5.20851,0.00038,-0.00038,0,10.704595,0.739794,-0.739794,0,766.183,14.685,-14.152
CoRoT-29 b,CoRoT-29,Transit,2015,0,2.85057,0.000006,-0.000006,0,10.0881,1.79344,-1.79344,0,806.507,44.027,-39.76
CoRoT-3 b,CoRoT-3,Transit,2008,0,4.2568,0.000005,-0.000005,0,11.32,0.78,-0.78,0,768.771,30.791,-28.545
CoRoT-30 b,CoRoT-30,Transit,2020,0,9.06005,0.00024,-0.00024,0,11.309881,0.851884,-0.851884,0,1032.23,48.57,-44.467
CoRoT-31 b,CoRoT-31,Transit,2020,0,4.62941,0.00075,-0.00075,0,16.36514,3.3627,-3.3627,0,2005.76,169.79,-145.71
CoRoT-32 b,CoRoT-32,Transit,2018,0,6.71837,0.00001,-0.00001,0,6.38913,0.67254,-0.56045,0,576.683,10.436,-10.436
CoRoT-35 b,CoRoT-35,Transit,2022,0,3.22748,0.00008,-0.00008,0,18.83108758,1.23298788,-1.23298788,0,1123.21,55.9,-50.92
CoRoT-36 b,CoRoT-36,Transit,2022,0,5.616531,0.000023,-0.000023,0,15.80466279,1.5692573,-1.5692573,0,925.958,27.796,-26.247
CoRoT-4 b,CoRoT-4,Transit,2008,0,9.20205,0.00037,-0.00037,0,13.34,0.67,-0.56,0,726.412,15.181,-14.582
CoRoT-5 b,CoRoT-5,Transit,2009,0,4.0378962,0.0000019,-0.0000019,0,15.558,0.516,-0.527,0,882.472,25.62,-25.62
CoRoT-6 b,CoRoT-6,Transit,2009,0,8.886593,0.000004,-0.000004,0,13.068,0.392,-0.392,0,645.294,12.453,-11.997
CoRoT-7 b,CoRoT-7,Transit,2009,0,0.85359163,0.000000006,-0.000000006,0,1.68135,0.11209,-0.11209,0,159.906,0.917,-0.906
CoRoT-7 c,CoRoT-7,Radial Velocity,2009,0,3.698,0.003,-0.003,0,2.83,,,0,159.906,0.917,-0.906
CoRoT-7 d,CoRoT-7,Radial Velocity,2022,0,8.966,1.546,-1.546,0,4.31,,,0,159.906,0.917,-0.906
CoRoT-8 b,CoRoT-8,Transit,2010,0,6.21229,0.00003,-0.00003,0,6.39,0.22,-0.22,0,322.037,2.714,-2.714
CoRoT-9 b,CoRoT-9,Transit,2009,0,95.272656,0.000068,-0.000068,0,11.948794,0.840675,-0.706167,0,412.98,4.725,-4.622
DE CVn b,DE CVn,Eclipse Timing Variations,2018,1,4098.1,131.5,-131.5,0,12.4,,,0,30.5225,0.0284,-0.0285
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,Astrometry,2013,0,246.36,1.38,-1.35,0,11.9,,,0,20.77,0.08,-0.08
DH Tau b,DH Tau,Imaging,2004,0,,,,,30.2643,8.9672,-8.9672,0,134.846,1.282,-1.258
DMPP-1 b,DMPP-1,Radial Velocity,2019,0,17.812,0.025,-0.019,0,4.26,,,0,62.5388,0.1782,-0.1773
DMPP-1 c,DMPP-1,Radial Velocity,2019,0,10.03,0.53,-0.24,0,3.31,,,0,62.5388,0.1782,-0.1773
DMPP-1 d,DMPP-1,Radial Velocity,2019,0,3.1417,0.002,-0.0248,0,2.02,,,0,62.5388,0.1782,-0.1773
DMPP-1 e,DMPP-1,Radial Velocity,2019,0,5.516,0.002,-0.004,0,1.86,,,0,62.5388,0.1782,-0.1773
DMPP-2 b,DMPP-2,Radial Velocity,2019,0,5.203,0.0012,-0.0012,0,14.2,,,0,137.94,0.681,-0.675
DMPP-2 c,DMPP-2,Radial Velocity,2026,0,3.168,0.355,-0.002,0,8.26,,,0,137.94,0.681,-0.675
DMPP-2 d,DMPP-2,Radial Velocity,2026,0,16.491,0.067,-0.053,0,11.6,,,0,137.94,0.681,-0.675
DMPP-3 A b,DMPP-3 A,Radial Velocity,2019,0,5.59,0.169,-0.002,0,1.44,,,0,46.8917,0.2296,-0.2274
DMPP-4 b,DMPP-4,Radial Velocity,2023,0,3.4982,0.0022,-0.2327,0,3.53,,,0,25.3284,0.0382,-0.038
DMPP-6 b,DMPP-6,Radial Velocity,2026,0,7.6027,0.0261,-0.0016,0,2.28,,,0,54.6303,0.0815,-0.0812
DMPP-6 c,DMPP-6,Radial Velocity,2026,0,36.441,0.077,-0.07,0,3.74,,,0,54.6303,0.0815,-0.0812
DMPP-7 b,DMPP-7,Radial Velocity,2026,0,4.984,0.069,-0.061,0,9.13,,,0,101.386,0.53,-0.526
DMPP-8 b,DMPP-8,Radial Velocity,2026,0,62.915,0.041,-0.033,0,10.8,,,0,76.1335,0.1902,-0.1892
DMPP-9 b,DMPP-9,Radial Velocity,2026,0,12.733,0.584,-0.524,0,3.89,,,0,109.539,0.31,-0.309
DP Leo b,DP Leo,Eclipse Timing Variations,2009,0,10220,730,-730,0,12.7,,,0,305.684,33.554,-27.604
DS Tuc A b,DS Tuc A,Transit,2019,0,8.138268,0.000011,-0.000011,0,5.7,0.17,-0.17,0,44.0622,0.0693,-0.0691
EPIC 201170410.02,EPIC 201170410,Transit,2020,0,6.7987,0.0001,-0.0001,0,1.047,0.276,-0.257,0,134,45.8,-39.8
EPIC 201238110 b,EPIC 201238110,Transit,2019,0,28.1656,0.0027,-0.0028,0,1.87,0.2,-0.45,0,159.259,1.414,-1.39
EPIC 201427007 b,EPIC 201427007,Transit,2021,0,0.72091,0.00014,-0.00014,0,1.5,0.2,-0.2,0,706.391,16.79,-16.79
EPIC 201497682 b,EPIC 201497682,Transit,2019,0,2.13174,0.00022,-0.00022,0,0.692,0.059,-0.048,0,253.026,1.664,-1.664
EPIC 201595106 b,EPIC 201595106,Transit,2021,0,0.87724,0.00004,-0.00004,0,1.565,0.079,-0.079,0,232.1,2.706,-2.646
EPIC 201615463 c,K2-166,Transit,2019,0,3.80464,0.00091,-0.00105,0,1.22,0.21,-0.17,0,476.882,9.692,-9.321
EPIC 201754305 d,K2-16,Transit,2019,0,2.71578,0.00031,-0.00031,0,1.03,0.085,-0.086,0,334.967,4.1785,-4.1785
EPIC 201757695.02,EPIC 201757695,Transit,2020,0,2.0478,0.0001,-0.0001,0,0.90819,0.05861,-0.06401,0,577.6,33.2,-29.8
EPIC 201833600 c,K2-50,Transit,2019,0,3.96151,0.00046,-0.00051,0,1,0.12,-0.11,0,257.443,3.239,-3.239
EPIC 201841433 b,EPIC 201841433,Transit,2019,0,4.1698,0.0001,-0.0001,0,1.04,0.037,-0.032,0,436.488,8.178001,-7.888
EPIC 205950854 c,K2-168,Transit,2019,0,8.050722,0.000075,-0.000038,0,1.31,0.144,-0.063,0,243.935,4.239,-4.099
EPIC 206024342 b,EPIC 206024342,Transit,2019,0,4.50756,0.00062,-0.0006,0,1.7,0.59,-0.31,0,369.888,4.99,-4.86
EPIC 206024342 c,EPIC 206024342,Transit,2021,0,0.911724,0.000076,-0.000076,0,1.4,0.5,-0.5,0,369.888,4.99,-4.86
EPIC 206024342 d,EPIC 206024342,Transit,2021,0,14.647531,0.0000041,-0.0000041,0,2.6,0.9,-0.9,0,369.888,4.99,-4.86
EPIC 206032309 b,EPIC 206032309,Transit,2019,0,2.87814,0.00023,-0.00026,0,1.01,0.24,-0.13,0,161.365,1.793,-1.793
EPIC 206042996 b,EPIC 206042996,Transit,2019,0,5.2986,0.0006,-0.0006,0,1.7,0.2,-0.2,0,451.769,13.976,-13.176
EPIC 206042996 c,EPIC 206042996,Transit,2021,0,0.354884,0.000063,-0.000063,0,1.2,0.2,-0.1,0,451.769,13.976,-13.176
EPIC 206215704 b,EPIC 206215704,Transit,2019,0,2.255436,0.000091,-0.000091,0,1,0.1,-0.09,0,109.888,1.08,-1.08
EPIC 206317286 b,EPIC 206317286,Transit,2019,0,1.58252,0.00017,-0.00018,0,0.96,0.11,-0.15,0,314.35,2.936,-2.882
EPIC 206317286 c,EPIC 206317286,Transit,2022,0,17.515472,0.002288,-0.002965,0,2.094,0.176,-0.16,0,314.35,2.936,-2.882
EPIC 211822797 b,EPIC 211822797,Transit,2016,0,21.1701963,0.0000662,-0.0000642,0,1.92,0.12,-0.07,0,186.197,1.3645,-1.3645
EPIC 211945201 b,EPIC 211945201,Transit,2018,0,19.49221,0.000666,-0.000653,0,5.76,0.3,-0.3,0,181.69,1.295,-1.277
EPIC 212297394 b,EPIC 212297394,Transit,2019,0,2.289363,0.000232,-0.000251,0,1.48,0.13,-0.11,0,418.395,7.353,-7.107
EPIC 212297394 c,EPIC 212297394,Transit,2021,0,5.213965,0.000442,-0.000442,0,2.27,0.19,-0.14,0,418.395,7.353,-7.107
EPIC 212424622 b,EPIC 212424622,Transit,2019,0,18.0983,0.006,-0.0058,0,2.17,0.67,-0.42,0,611.804,10.285,-9.956
EPIC 212499991 b,EPIC 212499991,Transit,2019,0,34.885,0.011,-0.01,0,1.6,0.13,-0.16,0,283.29,2.043,-2.015
EPIC 212587672 b,EPIC 212587672,Transit,2019,0,15.28078,0.000121,-0.000116,0,1.26,0.11,-0.09,0,320.07,6.392,-6.152
EPIC 212587672 c,EPIC 212587672,Transit,2021,0,23.228555,0.000068,-0.000071,0,2.32,0.19,-0.12,0,320.07,6.392,-6.152
EPIC 212624936 b,EPIC 212624936,Transit,2021,0,0.578657,0.000016,-0.000016,0,1.2,0.3,-0.3,0,561.929,8.913,-8.644
EPIC 212624936 c,EPIC 212624936,Transit,2021,0,11.811437,0.00011,-0.00011,0,2.3,0.5,-0.5,0,561.929,8.913,-8.644
EPIC 212737443 b,EPIC 212737443,Transit,2019,0,13.603,0.0013,-0.0013,0,2.586,0.126,-0.126,0,336.25,4.743,-4.615
EPIC 212737443 c,EPIC 212737443,Transit,2019,0,65.55,0.0089,-0.0089,0,2.69,0.146,-0.146,0,336.25,4.743,-4.615
EPIC 220492298 b,EPIC 220492298,Transit,2021,0,0.762406,0.00015,-0.00015,0,0.99,0.1,-0.1,0,624.512,14.947,-14.947
EPIC 220554210 c,K2-282,Transit,2019,0,0.70531,0.000037,-0.000037,0,1.6,0.1,-0.1,0,496.289,7.902,-7.663
EPIC 220674823 b,EPIC 220674823,Transit,2016,0,0.57130782,0.00000056,-0.00000057,0,1.606,0.034,-0.033,0,244.59,3.044,-2.972
EPIC 220674823 c,EPIC 220674823,Transit,2016,0,13.340603,0.000021,-0.000021,0,2.712,0.071,-0.071,0,244.59,3.044,-2.972
EPIC 228836835 b,EPIC 228836835,Transit,2021,0,0.728113,0.000063,-0.000063,0,1.1,0.3,-0.2,0,150.124,1.799,-1.758
EPIC 229004835 b,EPIC 229004835,Transit,2023,0,16.141132,0.000019,-0.000019,0,2.332,0.08,-0.094,0,121.971,0.879,-0.866
EPIC 246851721 b,EPIC 246851721,Transit,2018,0,6.180235,0.000014,-0.000014,0,11.780659,0.493196,-0.493196,0,372.632,19.456,-17.644
EPIC 248847494 b,EPIC 248847494,Transit,2018,0,3650,1280,-1130,0,12.44199,0.78463,-0.78463,0,551.886,12.752,-12.752
