pl_name,hostname,discoverymethod,disc_year,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,sy_dist,sy_disterr1,sy_disterr2
HD 15906 c,HD 15906,Transit,2023,0,21.583298,0.000052,-0.000055,0,2.93,0.07,-0.06,0,45.5621,0.0883,-0.088
HD 159243 b,HD 159243,Radial Velocity,2013,0,12.62,0.004,-0.004,0,13.7,,,0,73.3055,0.2358,-0.2344
HD 159243 c,HD 159243,Radial Velocity,2013,0,248.4,4.9,-4.9,0,13.4,,,0,73.3055,0.2358,-0.2344
HD 159868 b,HD 159868,Radial Velocity,2006,0,1184.1,7.1,-7.1,0,13.3,,,0,55.8503,0.1669,-0.166
HD 159868 c,HD 159868,Radial Velocity,2012,0,351,1.1,-1.1,0,14,,,0,55.8503,0.1669,-0.166
HD 1605 b,HD 1605,Radial Velocity,2015,0,577.2,2.5,-2.5,0,13.8,,,0,88.8047,0.3754,-0.3724
HD 1605 c,HD 1605,Radial Velocity,2015,0,2149,16,-16,0,13,,,0,88.8047,0.3754,-0.3724
HD 160691 b,HD 160691,Radial Velocity,2000,0,645,0.3,-0.3,0,,,,,15.5981,0.0296,-0.0294
HD 160691 c,HD 160691,Radial Velocity,2004,0,3947,23,-23,0,,,,,15.5981,0.0296,-0.0294
HD 160691 d,HD 160691,Radial Velocity,2004,0,9.6392,0.0006,-0.0006,0,3.23,,,0,15.5981,0.0296,-0.0294
HD 160691 e,HD 160691,Radial Velocity,2006,0,307.9,0.3,-0.3,0,,,,,15.5981,0.0296,-0.0294
HD 161178 b,HD 161178,Radial Velocity,2021,0,279.3,1,-0.8,0,14.1,,,0,107.188,0.4905,-0.4905
HD 16141 b,HD 16141,Radial Velocity,2000,0,75.523,0.055,-0.055,0,10.9,,,0,37.7861,0.0836,-0.0832
HD 16175 b,HD 16175,Radial Velocity,2009,0,990,20,-20,0,12.8,,,0,59.859,0.2478,-0.2457
HD 162020 b,HD 162020,Radial Velocity,2002,0,8.4282,0.000056,-0.000056,0,12.5,,,0,30.8248,0.0715,-0.0712
HD 163607 b,HD 163607,Radial Velocity,2012,0,75.2203,0.0094,-0.0094,0,13.9,,,0,67.7855,0.1639,-0.1632
HD 163607 c,HD 163607,Radial Velocity,2012,0,1272,4.4,-4.4,0,13.3,,,0,67.7855,0.1639,-0.1632
HD 16417 b,HD 16417,Radial Velocity,2008,0,17.24,0.01,-0.01,0,5,,,0,25.3936,0.0353,-0.0352
HD 164509 b,HD 164509,Radial Velocity,2012,0,280.17,0.82,-0.82,0,14.3,,,0,53.1119,0.1432,-0.1425
HD 164595 b,HD 164595,Radial Velocity,2015,0,40,0.24,-0.24,0,4.16,,,0,28.254,0.0208,-0.0207
HD 164604 b,HD 164604,Radial Velocity,2009,0,653.9,1.5,-1.7,0,12.3,,,0,39.3633,0.0963,-0.0959
HD 164604 c,HD 164604,Radial Velocity,2026,0,5387,120,-127,0,12.5,,,0,39.3633,0.0963,-0.0959
HD 164922 b,HD 164922,Radial Velocity,2005,0,1207,4,-5,0,13.3,,,0,22.0016,0.0152,-0.0151
HD 164922 c,HD 164922,Radial Velocity,2016,0,75.74,0.06,-0.05,0,3.66,,,0,22.0016,0.0152,-0.0151
HD 164922 d,HD 164922,Radial Velocity,2020,0,12.458,0.003,-0.003,0,1.83,,,0,22.0016,0.0152,-0.0151
HD 164922 e,HD 164922,Radial Velocity,2021,0,41.763,0.012,-0.012,0,3.23,,,0,22.0016,0.0152,-0.0151
HD 165131 b,HD 165131,Radial Velocity,2023,0,2342.6,1.3,-1.3,0,12.1,,,0,57.4263,0.2111,-0.2096
HD 165155 b,HD 165155,Radial Velocity,2016,0,434.5,2.1,-2.1,0,13.2,,,0,63.3574,0.2184,-0.2168
HD 1666 b,HD 1666,Radial Velocity,2015,0,270,0.8,-0.9,0,12.7,,,0,117.908,0.687,-0.679
HD 166724 b,HD 166724,Radial Velocity,2012,0,5144,705,-467,0,13,,,0,45.1342,0.0903,-0.0899
HD 167042 b,HD 167042,Radial Velocity,2007,0,417.67,0.43,-0.41,0,13.6,,,0,49.6633,0.1348,-0.1348
HD 16760 b,HD 16760,Radial Velocity,2009,1,466.08,0.08,-0.08,0,12.1,,,0,50.17561,,
HD 167677 b,HD 167677,Radial Velocity,2023,0,1820,10,-14,0,13.2,,,0,54.3258,0.2769,-0.2741
HD 167768 b,HD 167768,Radial Velocity,2022,0,20.6532,0.0034,-0.0035,0,13.9,,,0,107.214,1.0755,-1.0755
HD 168009 b,HD 168009,Radial Velocity,2021,0,15.1479,0.0035,-0.0037,0,3.05,,,0,23.3032,0.0118,-0.0118
HD 168443 b,HD 168443,Radial Velocity,1998,0,58.11187,0.00024,-0.00018,0,12.6,,,0,39.6245,0.1224,-0.1217
HD 168443 c,HD 168443,Radial Velocity,2000,0,1753.1096,0.77149,-0.72042,0,12.2,,,0,39.6245,0.1224,-0.1217
HD 168746 b,HD 168746,Radial Velocity,2002,0,6.404,0.0014,-0.0014,0,11.1,,,0,41.5681,0.1,-0.0995
HD 168863 b,HD 168863,Radial Velocity,2022,0,14773.93272,8638.61024,-2644.05863,0,12.7,,,0,39.8979,0.0924,-0.0919
HD 1690 b,HD 1690,Radial Velocity,2010,0,533,1.7,-1.7,0,12.5,,,0,752.615,27.894,-27.894
HD 16905 b,HD 16905,Radial Velocity,2022,0,10256,618,-522,0,12.4,,,0,39.7401,0.0452,-0.0452
HD 169142 b,HD 169142,Imaging,2023,0,,,,,13.1,,,0,113.6,0.833,-0.82
